week,pm2.5,weekly_sum_pm2.5
17/04/2011,75.31967213,9189
24/04/2011,92.31543624,13755
01/05/2011,53.48502994,8932
08/05/2011,50.7202381,8521
15/05/2011,72.88690476,12245
22/05/2011,90.94927536,12551
29/05/2011,49.8757764,8030
05/06/2011,94.2969697,15559
12/06/2011,115.5178571,19407
19/06/2011,139.0654762,23363
26/06/2011,132.2678571,22221
03/07/2011,77.47619048,13016
10/07/2011,105.2678571,17685
17/07/2011,128.202381,21538
24/07/2011,112.6785714,18930
31/07/2011,101.3902439,8314
07/08/2011,124.6140351,14206
14/08/2011,63.73214286,10707
21/08/2011,95.49242424,12605
28/08/2011,112.2754491,18750
04/09/2011,76.91666667,12922
11/09/2011,91.03571429,15294
18/09/2011,63.08928571,10599
25/09/2011,158.0479042,26394
02/10/2011,98.55072464,6800
09/10/2011,129.0718563,21555
16/10/2011,166.1488095,27913
23/10/2011,138.7571429,19426
30/10/2011,138.6385542,23014
06/11/2011,69.78571429,11724
13/11/2011,117.4457831,19496
20/11/2011,145.0654762,24371
27/11/2011,161.9820359,27051
04/12/2011,144.3095238,24244
11/12/2011,64.48809524,10834
18/12/2011,50.01796407,8353
25/12/2011,135.1130952,22699
01/01/2012,76.76190476,12896
08/01/2012,138.5649351,21339
15/01/2012,236.1111111,25500
22/01/2012,85.8452381,14422
29/01/2012,56.27380952,9454
05/02/2012,57.36904762,9638
12/02/2012,84.95238095,14272
19/02/2012,91.76190476,15416
26/02/2012,163.48125,26157
04/03/2012,70.07784431,11703
11/03/2012,115.9760479,19368
18/03/2012,110.7142857,18600
25/03/2012,64.31547619,10805
01/04/2012,36.74404762,6173
08/04/2012,57.92857143,9732
15/04/2012,115.6309524,19426
22/04/2012,114.3892216,19103
29/04/2012,131.8443114,22018
06/05/2012,118.1845238,19855
13/05/2012,76.58536585,12560
20/05/2012,65.36065574,7974
27/05/2012,84.53012048,14032
03/06/2012,105.672619,17753
10/06/2012,26.09876543,4228
17/06/2012,152.2560976,24970
24/06/2012,99.80120482,16567
01/07/2012,96.52760736,15734
08/07/2012,62.34939759,10350
15/07/2012,111.5903614,18524
22/07/2012,61.1509434,9723
29/07/2012,30.24806202,3902
05/08/2012,66.68944099,10737
12/08/2012,80.81896552,9375
19/08/2012,70.54205607,7548
26/08/2012,142.25,23898
02/09/2012,44.89880952,7543
09/09/2012,62.20359281,10388
16/09/2012,79.2754491,13239
23/09/2012,45.50609756,7463
30/09/2012,61.7005988,10304
07/10/2012,122.5952381,20596
14/10/2012,93.03614458,15444
21/10/2012,126.5357143,21258
28/10/2012,75.74850299,12650
04/11/2012,61.44047619,10322
11/11/2012,58.50595238,9829
18/11/2012,130.1689189,19265
25/11/2012,83.92168675,13931
02/12/2012,79.03571429,13278
09/12/2012,160.7305389,26842
16/12/2012,112.6506024,18700
23/12/2012,91.46341463,3750
30/12/2012,44.26190476,7436
06/01/2013,228.9760479,38239
13/01/2013,216.0424242,35647
20/01/2013,154.4166667,25942
27/01/2013,240.1556886,40106
03/02/2013,96.70833333,16247
10/02/2013,115.5808383,19302
17/02/2013,100.4404762,16874
24/02/2013,178.0178571,29907
03/03/2013,164.2710843,27269
10/03/2013,137.313253,22794
17/03/2013,115.7857143,19452
24/03/2013,92.69461078,15480
31/03/2013,99.79041916,16665
07/04/2013,36.41317365,6081
14/04/2013,49.55151515,8176
21/04/2013,107.1547619,18002
28/04/2013,57.5,9660
05/05/2013,122.6845238,20611
12/05/2013,75.92105263,11540
19/05/2013,75.9702381,12763
26/05/2013,72.68263473,12138
02/06/2013,146.4583333,24605
09/06/2013,80.16666667,13468
16/06/2013,78.21084337,12983
23/06/2013,135.5654762,22775
30/06/2013,70.23809524,11800
07/07/2013,74.71428571,12552
14/07/2013,83.50299401,13945
21/07/2013,63.28395062,10252
28/07/2013,60.85714286,10224
04/08/2013,63.30952381,10636
11/08/2013,81.57142857,13704
18/08/2013,63.87730061,10412
25/08/2013,43.77439024,7179
01/09/2013,67.875,11403
08/09/2013,95.03614458,15776
15/09/2013,77.80357143,13071
22/09/2013,94.10179641,15715
29/09/2013,142.5595238,23950
06/10/2013,106.2682927,17428
13/10/2013,94.83333333,15932
20/10/2013,61.89759036,10275
27/10/2013,191.1071429,32106
03/11/2013,105.0714286,17652
10/11/2013,79.05357143,13281
17/11/2013,94.28915663,15652
24/11/2013,40.20833333,6755
01/12/2013,138.4761905,23264
08/12/2013,66.17857143,11118
15/12/2013,77.14457831,12806
22/12/2013,128,21376
29/12/2013,86.35099338,13039
05/01/2014,94.92857143,15948
12/01/2014,169.8711656,27689
19/01/2014,117.313253,19474
26/01/2014,105.6488095,17749
02/02/2014,73.92261905,12419
09/02/2014,167.9107143,28209
16/02/2014,204.9277108,34018
23/02/2014,242.1976048,40447
02/03/2014,105.297619,17690
09/03/2014,85.99404762,14447
16/03/2014,59.68862275,9968
23/03/2014,199.3809524,33496
30/03/2014,72.52380952,12184
06/04/2014,105.4011976,17602
13/04/2014,121.9518072,20244
20/04/2014,84.91071429,14265
27/04/2014,84.83333333,14252
04/05/2014,70.73214286,11883
11/05/2014,55.48214286,9321
18/05/2014,101.3433735,16823
25/05/2014,58.17261905,9773
01/06/2014,46.56363636,7683
08/06/2014,47.25477707,7419
15/06/2014,90.38787879,14914
22/06/2014,51.68452381,8683
29/06/2014,117.4464286,19731
06/07/2014,77.58895706,12647
13/07/2014,76.86309524,12913
20/07/2014,51.90963855,8617
27/07/2014,120.8333333,20300
03/08/2014,56.86309524,9553
10/08/2014,34.66071429,5823
17/08/2014,81.6433121,12818
24/08/2014,61.64285714,10356
31/08/2014,73.14880952,12289
07/09/2014,70.08928571,11775
14/09/2014,63.88484848,10541
21/09/2014,85.90361446,14260
28/09/2014,72.91666667,12250
05/10/2014,202.5178571,34023
12/10/2014,68.50595238,11509
19/10/2014,200.7964072,33533
26/10/2014,106.3333333,17864
02/11/2014,54.8502994,9160
09/11/2014,62.5748503,10450
16/11/2014,143.8205128,22436
23/11/2014,168.1190476,28244
30/11/2014,43.21686747,7174
07/12/2014,80.90066225,12216
14/12/2014,83.27044025,13240
21/12/2014,95.0952381,15976
28/12/2014,103.125,9900
